record_id,order_id,customer_id,product_id,order_date,order_total,product_price,inventory_level,customer_segment,order_status,product_category,product_subcategory,customer_ltv,order_frequency,average_order_value,product_rating,product_review_count,price_optimization_flag,price_elasticity,demand_forecast,inventory_turnover,stockout_rate,overstock_rate,revenue_growth_rate,customer_satisfaction_rate,price_optimization_date,price_optimization_result,price_optimization_recommendation
CPG-00001,ORD-00001,CUST-00001,PROD-00001,2024-10-14,699.17,52.26,3113,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,2294.38,12,81.81,4.45,447,FALSE,0.6028,2188,8.5709,0.102532,0.014281,0.207983,0.76707,2024-09-29,Implemented,Decrease price
CPG-00002,ORD-00002,CUST-00002,PROD-00002,2024-08-24,350.82,34.3,2656,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,1183.79,2,325.92,4.46,337,FALSE,0.7426,1729,11.0011,0.085077,0.143583,-0.129899,0.749616,2024-10-07,Rejected,Bundle with promotion
CPG-00003,ORD-00003,CUST-00003,PROD-00003,2024-06-03,138.57,45.33,3509,Low-Value,Shipped,Beverages,Carbonated Soft Drinks,2027.03,8,398.98,3.61,285,TRUE,1.3229,745,9.1915,0.129165,0.030568,-0.172014,0.840241,2024-05-17,Rejected,Increase price
CPG-00004,ORD-00004,CUST-00004,PROD-00004,2024-08-04,352.73,58.32,94,Low-Value,Cancelled,Beverages,Carbonated Soft Drinks,3617.57,22,356.22,4.49,280,FALSE,1.9446,2787,1.7828,0.065215,0.090745,0.463053,0.937926,2024-08-20,Pending Review,Decrease price
CPG-00005,ORD-00005,CUST-00005,PROD-00005,2024-09-04,822.68,39.06,4988,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,806.55,6,224.96,4.05,162,TRUE,1.5375,4003,0.724,0.139365,0.175744,0.365332,0.653757,2024-07-12,Implemented,Decrease price
CPG-00006,ORD-00006,CUST-00006,PROD-00006,2024-12-08,853.05,6.01,4363,High-Value,Pending,Beverages,Carbonated Soft Drinks,685.54,16,379.8,1.3,258,TRUE,0.7361,4970,5.3661,0.03177,0.107859,0.283945,0.600576,2024-10-16,Pending Review,Bundle with promotion
CPG-00007,ORD-00007,CUST-00007,PROD-00007,2024-10-16,345.48,16.38,524,Medium-Value,Pending,Beverages,Carbonated Soft Drinks,154.12,18,107.44,4.15,241,TRUE,0.1173,483,3.1328,0.135813,0.171927,-0.243314,0.619002,2024-10-08,Rejected,Bundle with promotion
CPG-00008,ORD-00008,CUST-00008,PROD-00008,2024-06-21,132.1,29.41,3874,Medium-Value,Pending,Beverages,Carbonated Soft Drinks,992.53,4,270.41,4.27,302,FALSE,1.1166,3826,10.4341,0.008126,0.130691,0.216944,0.530306,2024-05-15,Rejected,Hold price
CPG-00009,ORD-00009,CUST-00009,PROD-00009,2024-11-18,235.06,26.47,2281,Medium-Value,Delivered,Beverages,Carbonated Soft Drinks,1286.54,3,188.39,1.67,239,TRUE,0.2214,4429,10.1143,0.145349,0.185273,0.378957,0.583156,2024-11-26,Pending Review,Bundle with promotion
CPG-00010,ORD-00010,CUST-00010,PROD-00010,2024-06-21,813.66,17.38,3727,Medium-Value,Shipped,Beverages,Carbonated Soft Drinks,2143.89,24,398.26,1.58,11,FALSE,0.4715,2431,3.0036,0.008772,0.147147,-0.251234,0.656802,2024-07-15,Implemented,Bundle with promotion
CPG-00011,ORD-00011,CUST-00011,PROD-00011,2024-09-03,154.33,12.78,4874,High-Value,Pending,Beverages,Carbonated Soft Drinks,3392.3,8,173.43,4.36,51,TRUE,1.4894,326,7.6229,0.062884,0.116734,0.118226,0.967353,2024-10-27,Implemented,Hold price
CPG-00012,ORD-00012,CUST-00012,PROD-00012,2024-06-28,250.07,28.52,594,High-Value,Cancelled,Beverages,Carbonated Soft Drinks,2318.51,19,398.52,1.46,340,TRUE,1.3903,4145,3.5498,0.139989,0.176173,0.403416,0.684764,2024-07-17,Implemented,Bundle with promotion
CPG-00013,ORD-00013,CUST-00013,PROD-00013,2024-11-27,495.75,32.68,4543,Medium-Value,Cancelled,Beverages,Carbonated Soft Drinks,4662.19,4,376.79,2.06,423,TRUE,0.7347,877,9.0378,0.023317,0.056351,-0.131496,0.67144,2024-10-16,Rejected,Hold price
