record_id,log_date,equipment_id,technician_id,customer_id,erp_order_id,maintenance_type,maintenance_status,log_description,summarized_log,failure_rate,maintenance_cost,downtime_hours,summarization_time_saved
MTN-00001,2026-02-21,EQ-0001,TECH-001,ECUST-0001,ERP-00001,Preventive Maintenance,Cancelled,Technician note for EQ-0001 on 2026-02-21.,AI summary: Preventive Maintenance on EQ-0001.,0.9588,3900.39,131,7
MTN-00002,2025-07-25,EQ-0002,TECH-002,ECUST-0002,ERP-00002,Predictive Maintenance,In Progress,Technician note for EQ-0002 on 2025-07-25.,AI summary: Predictive Maintenance on EQ-0002.,0.085,983.45,149,8
MTN-00003,2026-01-15,EQ-0003,TECH-003,ECUST-0003,ERP-00003,Corrective Maintenance,Scheduled,Technician note for EQ-0003 on 2026-01-15.,AI summary: Corrective Maintenance on EQ-0003.,0.3001,12405.84,52,2
MTN-00004,2025-01-09,EQ-0004,TECH-004,ECUST-0004,ERP-00004,Condition-Based Maintenance,Scheduled,Technician note for EQ-0004 on 2025-01-09.,AI summary: Condition-Based Maintenance on EQ-0004.,0.5118,3439.98,59,5
MTN-00005,2024-07-13,EQ-0005,TECH-005,ECUST-0005,ERP-00005,Reliability-Centered Maintenance,Cancelled,Technician note for EQ-0005 on 2024-07-13.,AI summary: Reliability-Centered Maintenance on EQ-0005.,0.9146,5832.03,184,4
MTN-00006,2026-06-04,EQ-0006,TECH-006,ECUST-0006,ERP-00006,Preventive Maintenance,Completed,Technician note for EQ-0006 on 2026-06-04.,AI summary: Preventive Maintenance on EQ-0006.,0.7209,4573.58,145,8
MTN-00007,2025-07-20,EQ-0007,TECH-007,ECUST-0007,ERP-00007,Predictive Maintenance,Completed,Technician note for EQ-0007 on 2025-07-20.,AI summary: Predictive Maintenance on EQ-0007.,0.2366,11803.04,188,2
MTN-00008,2025-09-07,EQ-0008,TECH-008,ECUST-0008,ERP-00008,Corrective Maintenance,Delayed,Technician note for EQ-0008 on 2025-09-07.,AI summary: Corrective Maintenance on EQ-0008.,0.0057,9913.2,10,1
MTN-00009,2026-05-06,EQ-0009,TECH-009,ECUST-0009,ERP-00009,Condition-Based Maintenance,Cancelled,Technician note for EQ-0009 on 2026-05-06.,AI summary: Condition-Based Maintenance on EQ-0009.,0.6759,4994.85,162,7
MTN-00010,2025-10-14,EQ-0010,TECH-010,ECUST-0010,ERP-00010,Reliability-Centered Maintenance,Completed,Technician note for EQ-0010 on 2025-10-14.,AI summary: Reliability-Centered Maintenance on EQ-0010.,0.3083,13523.72,177,1
MTN-00011,2024-07-29,EQ-0011,TECH-011,ECUST-0011,ERP-00011,Preventive Maintenance,In Progress,Technician note for EQ-0011 on 2024-07-29.,AI summary: Preventive Maintenance on EQ-0011.,0.3191,12034.25,189,1
