id,job,marital,education,age,balance,housing,loan,c_default,contact,month,day,duration,campaign,previous,poutcome,pdays,y
1,self-employed,divorced,secondary,999,47980.45,yes,yes,no,unknown,jul,19,1782,18,5,failure,190,no
2,student,married,secondary,-1,33739.35,yes,yes,no,cellular,nov,10,841,4,9,success,51,no
3,unemployed,divorced,unknown,-1,26436.93,no,yes,yes,cellular,oct,27,140,5,3,success,298,yes
4,housemaid,single,tertiary,-1,5143.18,no,yes,no,cellular,mar,28,1244,3,6,failure,-1,no
5,blue-collar,married,secondary,32,45247.49,no,no,no,telephone,jul,16,602,16,5,success,-1,no
6,services,divorced,secondary,72,17996.1,yes,no,no,telephone,jan,25,313,13,6,unknown,317,no
7,admin.,single,secondary,63,6514.83,no,no,yes,telephone,jul,16,489,1,3,success,39,yes
8,blue-collar,divorced,unknown,21,-45.07,no,yes,no,telephone,jan,17,805,18,2,unknown,-1,no
9,blue-collar,married,primary,71,12757.76,no,yes,no,telephone,feb,11,648,8,4,other,60,yes
10,management,single,primary,25,15627.33,no,yes,yes,telephone,aug,5,330,14,4,failure,210,yes
11,management,divorced,unknown,36,12839.16,yes,yes,no,cellular,may,6,1896,15,10,unknown,-1,no
12,admin.,single,primary,86,5352.72,yes,yes,no,cellular,apr,19,715,1,10,success,350,no
13,self-employed,married,tertiary,54,13026.11,no,yes,yes,unknown,dec,24,1802,11,6,failure,55,no
14,student,divorced,primary,94,20783.64,yes,yes,yes,telephone,dec,21,1207,14,6,success,302,no
15,retired,divorced,unknown,59,44099.94,yes,no,yes,cellular,oct,7,467,2,4,unknown,69,yes
16,unemployed,married,secondary,58,1903.57,no,yes,no,telephone,may,27,274,1,0,failure,-1,no
17,admin.,single,secondary,83,15747.71,yes,no,yes,unknown,aug,7,279,17,5,failure,301,no
18,services,divorced,secondary,23,-1352.49,no,no,yes,unknown,aug,19,1857,10,7,unknown,-1,no
19,self-employed,divorced,primary,67,42766.35,no,yes,yes,cellular,mar,21,943,4,6,other,387,yes
20,management,married,primary,52,40618.32,no,yes,yes,telephone,sep,28,1929,16,8,failure,-1,no
21,unemployed,single,tertiary,62,38273.7,yes,no,no,telephone,aug,27,1862,15,1,success,-1,no
22,blue-collar,divorced,primary,53,46809.07,yes,no,no,cellular,dec,3,493,14,8,failure,375,no
23,services,single,tertiary,32,10056.71,no,yes,no,telephone,sep,24,1501,19,5,failure,-1,no
24,management,divorced,secondary,33,2594.97,no,no,no,unknown,aug,4,478,14,10,other,50,no
25,services,divorced,secondary,23,31759.99,no,no,no,unknown,nov,18,326,20,6,unknown,294,no
26,technician,divorced,primary,42,25191.25,yes,no,yes,cellular,jun,26,282,3,2,success,304,no
27,unemployed,married,tertiary,27,42345.03,no,yes,no,unknown,apr,17,1728,4,5,failure,120,no
28,unknown,married,tertiary,54,33996.71,yes,no,no,telephone,dec,21,829,5,5,success,121,no
29,unknown,married,secondary,86,14539.1,yes,no,no,telephone,oct,5,303,15,9,other,123,no
30,services,single,primary,65,757.02,no,yes,yes,telephone,aug,16,386,9,2,unknown,-1,no
31,management,married,unknown,42,44683.11,no,no,no,cellular,nov,6,1239,18,3,success,-1,no
32,services,divorced,tertiary,85,20779.06,no,no,yes,telephone,nov,7,243,14,7,other,-1,no
33,services,single,unknown,31,11992.04,no,no,yes,telephone,nov,9,1207,11,5,other,3,no
34,entrepreneur,divorced,tertiary,22,16724.16,no,yes,no,unknown,feb,7,1856,19,6,unknown,-1,no
35,entrepreneur,divorced,tertiary,28,38753.45,no,no,yes,cellular,oct,27,614,15,2,unknown,50,no
36,management,married,secondary,91,12315.52,no,no,no,cellular,jan,18,914,7,9,other,45,no
37,technician,single,tertiary,81,41978.48,yes,no,yes,cellular,mar,3,1247,17,4,failure,268,no
38,admin.,divorced,secondary,22,44642.05,no,no,yes,cellular,jul,8,652,19,6,unknown,51,no
39,unemployed,divorced,tertiary,59,44688.7,yes,yes,yes,telephone,may,2,641,19,3,other,-1,no
40,housemaid,single,secondary,68,23535.09,no,no,no,telephone,sep,6,1438,15,7,success,-1,no
41,management,divorced,tertiary,46,45734.96,yes,no,no,cellular,jun,13,247,15,0,other,-1,no
42,management,married,secondary,84,8116.88,no,yes,yes,unknown,jan,16,1921,9,1,failure,-1,no
43,management,married,tertiary,43,6244.19,yes,no,yes,unknown,apr,21,53,17,8,other,331,no
44,retired,divorced,tertiary,87,11869.99,yes,yes,no,unknown,mar,10,807,20,6,success,82,no
45,technician,divorced,primary,92,47083.06,yes,no,no,telephone,mar,27,1162,3,0,unknown,-1,no
46,self-employed,single,secondary,88,23088.28,yes,yes,no,cellular,may,22,714,20,4,failure,-1,no
47,entrepreneur,married,unknown,53,44712.33,no,yes,no,unknown,mar,21,1449,13,4,other,339,yes
48,unemployed,single,primary,56,20740.43,yes,no,no,unknown,nov,1,1762,20,6,other,-1,no
49,retired,married,tertiary,39,7858.59,yes,no,yes,telephone,jan,23,192,19,9,failure,-1,no
50,unknown,single,unknown,47,41837.87,yes,no,yes,telephone,nov,6,122,14,8,unknown,302,no
51,retired,married,primary,95,33447.24,no,yes,yes,telephone,may,18,45,17,10,other,-1,no
52,services,single,secondary,52,12815.5,no,yes,yes,unknown,sep,24,553,1,9,success,-1,yes
53,technician,divorced,secondary,24,37773.38,no,yes,no,cellular,apr,24,1612,3,3,success,396,no
54,blue-collar,single,unknown,84,49690.01,yes,yes,no,unknown,aug,19,1036,8,8,success,-1,no
55,entrepreneur,married,secondary,81,213.05,yes,yes,no,unknown,jun,1,1676,20,5,success,-1,no
56,blue-collar,divorced,secondary,83,47229.14,yes,yes,no,unknown,jul,23,1828,10,4,success,18,no
57,services,divorced,tertiary,26,1264.51,no,no,yes,unknown,sep,26,335,17,3,failure,253,yes
58,housemaid,single,secondary,52,15552.53,yes,yes,no,unknown,mar,21,1086,16,8,other,-1,no
59,retired,married,tertiary,18,3512.15,no,yes,no,telephone,jul,25,1434,16,6,other,345,no
60,blue-collar,married,unknown,26,37051.73,yes,yes,yes,unknown,oct,15,1336,10,5,success,263,no
