customer_id,customer_name,segment,income_bracket,credit_score_range,education_level,employment_sector,annual_income,credit_score,debt_to_income_ratio,years_of_credit_history,num_credit_accounts,num_delinquencies_last_2_years,num_recent_inquiries,is_homeowner,has_previous_bankruptcy
CUST-C0001,Stable Prime Customer,High Net Worth,High,Poor (300-579),Master's,Healthcare,233987.15,508,0.1335,35,18,5,5,True,False
CUST-C0002,Stable Prime Customer,Institutional,Middle,Poor (300-579),Doctorate,Construction,31424.28,361,0.799,28,4,5,8,False,True
CUST-C0003,Stable Prime Customer,Small Business,Ultra-High,Poor (300-579),High School,Education,291653.21,569,0.3516,32,5,4,1,True,False
CUST-C0004,Stable Prime Customer,Corporate,Low,Poor (300-579),Doctorate,Construction,281018.6,474,0.7237,35,2,5,8,True,False
CUST-C0005,Stable Prime Customer,Corporate,Low,Good (670-739),Bachelor's,Healthcare,194418.55,706,0.3247,8,7,1,1,False,False
CUST-C0006,Stable Prime Customer,Small Business,High,Very Good (740-799),Bachelor's,Technology,166641.48,760,0.5262,18,17,0,2,True,False
CUST-C0007,Stable Prime Customer,Institutional,High,Poor (300-579),High School,Technology,240996.02,496,0.4302,40,19,3,5,True,True
CUST-C0008,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Master's,Manufacturing,326049.68,300,0.7615,33,17,5,0,False,True
CUST-C0009,Stable Prime Customer,Small Business,Middle,Poor (300-579),Doctorate,Manufacturing,126738.05,389,0.9074,23,2,0,0,False,False
CUST-C0010,Stable Prime Customer,Institutional,Low,Excellent (800-850),Bachelor's,Government,298276.04,825,0.0182,13,7,5,1,False,False
CUST-C0011,Stable Prime Customer,Corporate,Middle,Poor (300-579),High School,Manufacturing,188144.76,316,0.5606,11,12,4,5,False,False
CUST-C0012,Stable Prime Customer,Institutional,High,Poor (300-579),Bachelor's,Finance,38393.56,444,0.224,29,14,2,2,False,False
CUST-C0013,Stable Prime Customer,Corporate,Low,Poor (300-579),Bachelor's,Government,235691.72,499,0.9253,36,2,5,1,False,True
CUST-C0014,Stable Prime Customer,Small Business,Middle,Fair (580-669),Bachelor's,Construction,316066.74,582,0.3565,28,9,3,0,True,False
CUST-C0015,Stable Prime Customer,High Net Worth,Low,Excellent (800-850),Doctorate,Construction,223698.4,808,0.3713,15,3,0,0,True,True
CUST-C0016,Stable Prime Customer,Retail,Middle,Good (670-739),Bachelor's,Retail,45725.65,715,0.5469,19,2,5,2,True,False
CUST-C0017,Stable Prime Customer,Institutional,Low,Poor (300-579),Doctorate,Education,38845.86,541,0.0242,9,2,0,7,True,False
CUST-C0018,Stable Prime Customer,Institutional,Low,Good (670-739),Master's,Government,288729.68,691,0.9841,35,11,5,2,False,True
CUST-C0019,Stable Prime Customer,High Net Worth,High,Poor (300-579),High School,Education,27539.18,408,0.4868,26,14,5,4,False,False
CUST-C0020,Stable Prime Customer,Corporate,Middle,Poor (300-579),Trade School,Manufacturing,325343.25,374,0.6679,13,15,1,1,False,False
CUST-C0021,Stable Prime Customer,Corporate,Middle,Good (670-739),Doctorate,Education,285012.53,709,0.1165,3,8,2,6,True,False
CUST-C0022,Stable Prime Customer,High Net Worth,Low,Good (670-739),Bachelor's,Finance,198877.1,719,0.0133,32,20,3,5,True,True
CUST-C0023,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Bachelor's,Education,44788.53,387,0.7476,34,3,3,6,False,False
CUST-C0024,Stable Prime Customer,Retail,High,Very Good (740-799),Doctorate,Healthcare,105369.59,779,0.594,15,4,1,5,True,True
CUST-C0025,Stable Prime Customer,Institutional,Middle,Poor (300-579),Bachelor's,Healthcare,44929.95,438,0.5838,10,14,2,4,False,True
CUST-C0026,Stable Prime Customer,High Net Worth,Ultra-High,Poor (300-579),Doctorate,Manufacturing,93477.63,446,0.4612,15,1,2,1,True,True
CUST-C0027,Stable Prime Customer,Corporate,Ultra-High,Poor (300-579),High School,Manufacturing,91401.56,533,0.7355,26,8,2,7,False,False
CUST-C0028,Stable Prime Customer,Corporate,Middle,Good (670-739),Trade School,Finance,218960.36,722,0.188,19,13,1,2,False,False
CUST-C0029,Stable Prime Customer,Institutional,High,Very Good (740-799),High School,Retail,70709.59,741,0.0304,10,12,2,2,False,False
CUST-C0030,Stable Prime Customer,Retail,Low,Poor (300-579),Trade School,Finance,126570.92,372,0.2497,28,8,3,0,True,True
CUST-C0031,Stable Prime Customer,Institutional,Ultra-High,Good (670-739),Doctorate,Education,230170.36,670,0.0329,28,10,3,3,True,True
CUST-C0032,Stable Prime Customer,Corporate,Low,Good (670-739),High School,Retail,243884.46,676,0.5251,38,19,0,6,True,True
CUST-C0033,Stable Prime Customer,Small Business,Middle,Poor (300-579),Master's,Retail,31645.19,424,0.3678,13,14,5,1,True,True
CUST-C0034,Stable Prime Customer,Institutional,Low,Poor (300-579),High School,Retail,316682.91,374,0.8517,5,17,3,5,False,False
CUST-C0035,Stable Prime Customer,Retail,High,Good (670-739),High School,Retail,192824.75,704,0.575,8,12,0,0,False,True
CUST-C0036,Stable Prime Customer,Corporate,Ultra-High,Poor (300-579),Bachelor's,Finance,268640.59,544,0.257,39,16,2,8,False,True
CUST-C0037,Stable Prime Customer,Small Business,Ultra-High,Poor (300-579),Master's,Retail,320146.83,576,0.0053,10,7,3,1,False,False
CUST-C0038,Stable Prime Customer,Corporate,Middle,Fair (580-669),Doctorate,Government,284342.15,626,0.2406,27,12,0,3,False,True
CUST-C0039,Stable Prime Customer,Small Business,High,Good (670-739),Bachelor's,Manufacturing,40423.79,672,0.2672,2,10,3,0,False,True
CUST-C0040,Stable Prime Customer,Institutional,Ultra-High,Good (670-739),Bachelor's,Government,289550.03,675,0.7977,32,12,2,1,True,True
CUST-C0041,Stable Prime Customer,Institutional,High,Poor (300-579),High School,Construction,40489.35,326,0.4662,9,18,5,0,True,False
CUST-C0042,Stable Prime Customer,Institutional,Low,Excellent (800-850),Master's,Manufacturing,226981.46,849,0.7409,31,3,3,4,True,False
CUST-C0043,Stable Prime Customer,Retail,Ultra-High,Good (670-739),High School,Technology,284250.79,670,0.3172,8,15,5,2,False,False
CUST-C0044,Stable Prime Customer,Institutional,Ultra-High,Good (670-739),Bachelor's,Manufacturing,53264.99,700,0.5404,18,14,2,3,True,False
CUST-C0045,Stable Prime Customer,Institutional,Ultra-High,Very Good (740-799),Master's,Healthcare,207614.47,795,0.7916,5,3,5,8,True,False
CUST-C0046,Stable Prime Customer,Institutional,Middle,Poor (300-579),Doctorate,Education,76397.11,376,0.9517,25,15,3,4,False,True
CUST-C0047,Stable Prime Customer,Retail,Ultra-High,Poor (300-579),High School,Retail,90139.41,380,0.1914,7,10,5,3,True,False
CUST-C0048,Stable Prime Customer,High Net Worth,High,Good (670-739),Master's,Healthcare,270480.03,702,0.8431,18,7,4,1,True,True
CUST-C0049,Stable Prime Customer,Corporate,Ultra-High,Good (670-739),Bachelor's,Construction,219949.8,730,0.9673,19,6,2,6,False,True
CUST-C0050,Stable Prime Customer,Retail,Low,Good (670-739),Master's,Government,53705.42,719,0.4881,36,1,2,3,True,True
CUST-C0051,Stable Prime Customer,Corporate,Middle,Poor (300-579),Bachelor's,Finance,288470.19,455,0.8863,40,1,1,4,True,True
CUST-C0052,Stable Prime Customer,Small Business,Middle,Fair (580-669),Trade School,Retail,238172.65,644,0.0534,3,5,1,3,True,False
CUST-C0053,Stable Prime Customer,Corporate,Ultra-High,Fair (580-669),Bachelor's,Finance,30632.93,648,0.6058,23,7,4,3,True,False
CUST-C0054,Stable Prime Customer,Retail,Low,Poor (300-579),High School,Healthcare,184729.28,428,0.37,12,13,1,2,True,True
CUST-C0055,Stable Prime Customer,Small Business,Ultra-High,Poor (300-579),Trade School,Retail,43995.17,514,0.9275,6,12,4,8,False,True
CUST-C0056,Stable Prime Customer,High Net Worth,Middle,Fair (580-669),Master's,Manufacturing,111448.35,589,0.3947,35,7,2,8,False,False
CUST-C0057,Stable Prime Customer,Institutional,Middle,Poor (300-579),Bachelor's,Construction,81270.16,395,0.2192,17,3,5,4,False,True
CUST-C0058,Stable Prime Customer,Institutional,Ultra-High,Excellent (800-850),Master's,Construction,104918.28,846,0.4324,10,16,1,0,True,True
CUST-C0059,Stable Prime Customer,Corporate,Middle,Fair (580-669),High School,Education,218074.84,669,0.6635,19,9,4,8,True,True
CUST-C0060,Stable Prime Customer,High Net Worth,Ultra-High,Poor (300-579),Master's,Government,120331.39,393,0.7792,31,19,2,4,False,True
CUST-C0061,Stable Prime Customer,High Net Worth,Ultra-High,Poor (300-579),Bachelor's,Manufacturing,95215.66,405,0.9683,12,8,4,0,True,False
CUST-C0062,Stable Prime Customer,High Net Worth,High,Poor (300-579),Trade School,Manufacturing,107556.0,428,0.0615,34,19,3,5,False,True
CUST-C0063,Stable Prime Customer,Corporate,Low,Excellent (800-850),Bachelor's,Healthcare,324807.57,847,0.0999,17,13,3,3,False,False
CUST-C0064,Stable Prime Customer,Corporate,Low,Good (670-739),Trade School,Finance,224692.81,679,0.31,10,6,4,8,False,True
CUST-C0065,Stable Prime Customer,Corporate,Middle,Very Good (740-799),High School,Manufacturing,86059.56,759,0.3,9,18,1,6,True,False
CUST-C0066,Stable Prime Customer,Retail,Low,Fair (580-669),Doctorate,Healthcare,197697.75,622,0.8952,11,3,4,0,False,True
CUST-C0067,Stable Prime Customer,Retail,Ultra-High,Poor (300-579),Trade School,Construction,108396.52,394,0.066,38,6,0,5,True,False
CUST-C0068,Stable Prime Customer,Small Business,Low,Excellent (800-850),Trade School,Education,53441.6,822,0.3211,12,1,3,0,False,False
CUST-C0069,Stable Prime Customer,Institutional,Low,Very Good (740-799),Doctorate,Manufacturing,214678.64,798,0.2459,13,15,4,4,True,True
CUST-C0070,Stable Prime Customer,Small Business,High,Poor (300-579),Trade School,Construction,44067.42,410,0.7823,22,13,1,8,True,True
CUST-C0071,Stable Prime Customer,Retail,Ultra-High,Fair (580-669),Doctorate,Construction,92946.47,626,0.7475,8,14,4,2,True,True
CUST-C0072,Stable Prime Customer,Retail,Middle,Fair (580-669),Trade School,Healthcare,245885.82,608,0.6932,34,7,4,6,True,True
CUST-C0073,Stable Prime Customer,Corporate,Ultra-High,Fair (580-669),Bachelor's,Healthcare,53707.69,600,0.4873,23,15,0,6,True,True
CUST-C0074,Stable Prime Customer,Corporate,High,Poor (300-579),Bachelor's,Education,305935.85,351,0.6079,21,5,2,6,False,False
CUST-C0075,Stable Prime Customer,Corporate,High,Fair (580-669),Bachelor's,Technology,280088.8,640,0.0278,29,9,2,3,True,False
CUST-C0076,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Doctorate,Government,306457.06,423,0.1336,25,1,1,0,False,True
CUST-C0077,Stable Prime Customer,Institutional,High,Poor (300-579),High School,Technology,256589.23,567,0.2269,32,13,4,4,False,False
CUST-C0078,Stable Prime Customer,Small Business,Ultra-High,Very Good (740-799),Master's,Government,30567.98,762,0.8754,13,20,1,5,True,True
CUST-C0079,Stable Prime Customer,Institutional,Ultra-High,Good (670-739),Master's,Technology,133861.46,739,0.3394,3,6,3,4,True,False
CUST-C0080,Stable Prime Customer,Corporate,Middle,Poor (300-579),High School,Technology,322436.61,467,0.3109,6,19,5,0,False,True
CUST-C0081,Stable Prime Customer,Corporate,High,Good (670-739),Trade School,Construction,258482.83,699,0.5447,37,4,1,2,True,True
CUST-C0082,Stable Prime Customer,Corporate,Middle,Fair (580-669),High School,Government,285362.58,592,0.2147,14,1,5,0,False,False
CUST-C0083,Stable Prime Customer,Corporate,High,Poor (300-579),Trade School,Construction,327954.75,419,0.5596,39,9,0,0,False,False
CUST-C0084,Stable Prime Customer,High Net Worth,Middle,Poor (300-579),High School,Technology,333956.82,576,0.0332,28,15,5,4,False,False
CUST-C0085,Stable Prime Customer,Retail,High,Excellent (800-850),Master's,Construction,222982.39,838,0.4703,36,7,0,1,False,True
CUST-C0086,Stable Prime Customer,Retail,Ultra-High,Fair (580-669),Master's,Finance,77680.13,596,0.4673,9,11,4,0,False,False
CUST-C0087,Stable Prime Customer,Retail,High,Poor (300-579),Doctorate,Manufacturing,35017.49,332,0.0995,19,9,1,4,False,False
CUST-C0088,Stable Prime Customer,Small Business,Low,Good (670-739),Trade School,Technology,243415.56,687,0.2001,21,4,3,4,False,False
CUST-C0089,Stable Prime Customer,Small Business,Ultra-High,Good (670-739),Doctorate,Retail,89874.92,701,0.7611,34,11,1,5,True,True
CUST-C0090,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Doctorate,Construction,22708.55,441,0.1243,7,8,0,1,True,False
CUST-C0091,Stable Prime Customer,Small Business,Low,Poor (300-579),Bachelor's,Healthcare,165644.62,367,0.8797,23,11,0,4,True,True
CUST-C0092,Stable Prime Customer,High Net Worth,Ultra-High,Poor (300-579),Master's,Education,336647.95,547,0.0933,8,2,3,6,True,False
CUST-C0093,Stable Prime Customer,High Net Worth,Low,Poor (300-579),Bachelor's,Manufacturing,142728.88,332,0.6985,17,9,2,1,False,True
CUST-C0094,Stable Prime Customer,Institutional,High,Fair (580-669),Trade School,Technology,100278.95,613,0.7975,20,8,5,5,True,False
CUST-C0095,Stable Prime Customer,Corporate,High,Excellent (800-850),Trade School,Healthcare,183597.78,813,0.6222,19,2,5,7,True,False
CUST-C0096,Stable Prime Customer,Corporate,Low,Good (670-739),High School,Technology,52019.22,738,0.4816,31,11,2,7,True,True
CUST-C0097,Stable Prime Customer,Corporate,High,Good (670-739),Master's,Manufacturing,327734.47,706,0.0598,36,6,2,0,True,True
CUST-C0098,Stable Prime Customer,Institutional,High,Excellent (800-850),Bachelor's,Finance,154168.57,847,0.0664,13,3,4,2,True,False
CUST-C0099,Stable Prime Customer,High Net Worth,Middle,Poor (300-579),High School,Retail,65326.95,315,0.0324,20,6,0,6,True,False
CUST-C0100,Stable Prime Customer,Corporate,Middle,Poor (300-579),Doctorate,Retail,25277.32,320,0.4584,29,15,5,4,False,False
CUST-C0101,Stable Prime Customer,High Net Worth,Ultra-High,Poor (300-579),Bachelor's,Retail,191434.7,313,0.5636,19,7,3,3,False,True
CUST-C0102,Stable Prime Customer,Corporate,Middle,Good (670-739),Trade School,Finance,183031.18,680,0.3952,17,13,1,5,False,False
CUST-C0103,Stable Prime Customer,Small Business,High,Poor (300-579),Doctorate,Healthcare,195857.87,438,0.5315,26,6,5,8,True,True
CUST-C0104,Stable Prime Customer,Retail,Ultra-High,Good (670-739),Bachelor's,Technology,320329.91,730,0.1538,4,8,2,7,True,False
CUST-C0105,Stable Prime Customer,Small Business,High,Good (670-739),Master's,Healthcare,87776.49,691,0.2165,19,4,1,0,False,False
