assessment_id,customer_id,institution_id,date,month,year,current_risk_score,risk_level,fraud_probability,risk_change_from_previous,is_anomaly,anomaly_type,monthly_transaction_volume,transaction_count,approval_recommendation,approval_confidence,primary_explanation_factors
1,CUST-C0013,INST-004,2022-01-01,1,2022,0.3722,Low,0.2878,,False,None,34338.87,48,Approve with Conditions,0.6502,Income stability;Payment history
2,CUST-C0013,INST-004,2022-02-01,2,2022,0.3616,Low,0.2227,-0.0106,False,None,34689.73,143,Approve,0.6186,Income stability;Payment history
3,CUST-C0013,INST-004,2022-03-01,3,2022,0.389,Low,0.1204,0.0274,False,None,26331.35,36,Deny,0.6235,Income stability;Payment history
4,CUST-C0013,INST-004,2022-04-01,4,2022,0.425,Moderate,0.0549,0.036,False,None,33840.81,103,Deny,0.8444,Income stability;Payment history
5,CUST-C0013,INST-004,2022-05-01,5,2022,0.3986,Low,0.2791,-0.0264,False,None,41973.1,45,Approve with Strict Conditions,0.7871,Income stability;Payment history
6,CUST-C0013,INST-004,2022-06-01,6,2022,0.3761,Low,0.0915,-0.0225,True,Rapid Score Change,32013.63,122,Approve with Strict Conditions,0.5279,Income stability;Payment history
7,CUST-C0013,INST-004,2022-07-01,7,2022,0.3502,Low,0.1008,-0.0259,False,None,41993.79,116,Approve with Strict Conditions,0.89,Income stability;Payment history
8,CUST-C0013,INST-004,2022-08-01,8,2022,0.3393,Low,0.1014,-0.0109,False,None,40309.85,154,Deny,0.9655,Income stability;Payment history
9,CUST-C0013,INST-004,2022-09-01,9,2022,0.3037,Low,0.2215,-0.0356,False,None,10055.95,100,Approve with Conditions,0.8498,Income stability;Payment history
10,CUST-C0013,INST-004,2022-10-01,10,2022,0.3349,Low,0.1828,0.0312,False,None,27230.74,176,Approve,0.5964,Income stability;Payment history
11,CUST-C0013,INST-004,2022-11-01,11,2022,0.3532,Low,0.0556,0.0183,False,None,14285.22,99,Approve with Conditions,0.9746,Income stability;Payment history
12,CUST-C0013,INST-004,2022-12-01,12,2022,0.3271,Low,0.1739,-0.0261,False,None,26218.19,115,Approve,0.8915,Income stability;Payment history
13,CUST-C0013,INST-004,2023-01-01,1,2023,0.3642,Low,0.0957,0.0371,False,None,44028.78,187,Approve,0.8799,Income stability;Payment history
14,CUST-C0013,INST-004,2023-02-01,2,2023,0.3541,Low,0.2803,-0.0101,False,None,31023.08,37,Deny,0.896,Income stability;Payment history
15,CUST-C0013,INST-004,2023-03-01,3,2023,0.3844,Low,0.1283,0.0303,False,None,11208.81,167,Approve with Conditions,0.5057,Income stability;Payment history
16,CUST-C0013,INST-004,2023-04-01,4,2023,0.4084,Moderate,0.1209,0.024,False,None,24330.68,125,Deny,0.8198,Income stability;Payment history
17,CUST-C0013,INST-004,2023-05-01,5,2023,0.3999,Low,0.051,-0.0085,False,None,24914.98,128,Deny,0.828,Income stability;Payment history
18,CUST-C0013,INST-004,2023-06-01,6,2023,0.3838,Low,0.2088,-0.0161,False,None,1828.11,23,Approve with Conditions,0.5049,Income stability;Payment history
19,CUST-C0013,INST-004,2023-07-01,7,2023,0.4181,Moderate,0.0811,0.0343,False,None,8574.87,24,Approve,0.6588,Income stability;Payment history
20,CUST-C0013,INST-004,2023-08-01,8,2023,0.4627,Moderate,0.2795,0.0446,False,None,21074.07,121,Approve with Strict Conditions,0.9971,Income stability;Payment history
21,CUST-C0013,INST-004,2023-09-01,9,2023,0.4411,Moderate,0.2578,-0.0216,False,None,38931.95,130,Approve with Strict Conditions,0.6487,Income stability;Payment history
22,CUST-C0013,INST-004,2023-10-01,10,2023,0.4209,Moderate,0.106,-0.0202,False,None,9770.82,116,Approve with Strict Conditions,0.9425,Income stability;Payment history
23,CUST-C0013,INST-004,2023-11-01,11,2023,0.4669,Moderate,0.0653,0.046,False,None,23413.25,5,Deny,0.6689,Income stability;Payment history
24,CUST-C0013,INST-004,2023-12-01,12,2023,0.4429,Moderate,0.0907,-0.024,False,None,13247.9,83,Deny,0.8665,Income stability;Payment history
25,CUST-C0013,INST-004,2024-01-01,1,2024,0.4834,Moderate,0.0157,0.0405,True,Unusual Transaction Pattern,42215.79,194,Approve with Strict Conditions,0.7957,Income stability;Payment history
26,CUST-C0013,INST-004,2024-02-01,2,2024,0.4736,Moderate,0.2423,-0.0098,False,None,21195.62,73,Approve,0.7558,Income stability;Payment history
27,CUST-C0013,INST-004,2024-03-01,3,2024,0.5008,Moderate,0.1612,0.0272,False,None,45252.83,193,Approve with Conditions,0.703,Income stability;Payment history
28,CUST-C0013,INST-004,2024-04-01,4,2024,0.4541,Moderate,0.2016,-0.0467,False,None,49971.34,30,Approve,0.8109,Income stability;Payment history
29,CUST-C0013,INST-004,2024-05-01,5,2024,0.4551,Moderate,0.028,0.001,False,None,12793.66,169,Approve,0.73,Income stability;Payment history
30,CUST-C0013,INST-004,2024-06-01,6,2024,0.4315,Moderate,0.2168,-0.0236,False,None,29125.15,172,Approve with Strict Conditions,0.5472,Income stability;Payment history
31,CUST-C0013,INST-004,2024-07-01,7,2024,0.414,Moderate,0.0408,-0.0175,False,None,41454.6,120,Approve,0.8156,Income stability;Payment history
32,CUST-C0013,INST-004,2024-08-01,8,2024,0.4104,Moderate,0.2325,-0.0036,True,Unusual Transaction Pattern,20616.98,112,Approve,0.5785,Income stability;Payment history
33,CUST-C0013,INST-004,2024-09-01,9,2024,0.3961,Low,0.0282,-0.0143,False,None,5497.67,130,Deny,0.6143,Income stability;Payment history
34,CUST-C0013,INST-004,2024-10-01,10,2024,0.4267,Moderate,0.1466,0.0306,False,None,34036.14,23,Approve with Strict Conditions,0.8981,Income stability;Payment history
35,CUST-C0013,INST-004,2024-11-01,11,2024,0.4648,Moderate,0.1895,0.0381,False,None,13105.61,78,Deny,0.5872,Income stability;Payment history
36,CUST-C0013,INST-004,2024-12-01,12,2024,0.4476,Moderate,0.0101,-0.0172,False,None,27432.36,143,Deny,0.55,Income stability;Payment history
37,CUST-C0242,INST-009,2022-01-01,1,2022,0.3447,Low,0.118,,False,None,31117.24,90,Approve,0.6224,Income stability;Payment history
38,CUST-C0242,INST-009,2022-02-01,2,2022,0.3043,Low,0.2909,-0.0404,False,None,2499.37,76,Deny,0.6505,Income stability;Payment history
39,CUST-C0242,INST-009,2022-03-01,3,2022,0.2891,Low,0.1744,-0.0152,False,None,19390.63,17,Approve with Conditions,0.6943,Income stability;Payment history
40,CUST-C0242,INST-009,2022-04-01,4,2022,0.3341,Low,0.0977,0.045,False,None,9553.03,176,Approve,0.7599,Income stability;Payment history
41,CUST-C0242,INST-009,2022-05-01,5,2022,0.3369,Low,0.0229,0.0028,False,None,19784.57,182,Approve with Strict Conditions,0.5318,Income stability;Payment history
