performance_id,customer_id,institution_id,product_type,avg_risk_score,risk_score_volatility,risk_trend,risk_trend_percentage,avg_fraud_probability,anomaly_percentage,risk_assessment_accuracy,approval_percentage,most_common_recommendation,avg_monthly_transaction_volume,total_transaction_volume,transaction_volatility,total_exposure,risk_adjusted_return,customer_value_score,customer_value_category,optimization_opportunity,optimization_priority
1,CUST-C0013,INST-004,Line of Credit,0.8187,0.1951,Improving,2.2499,0.0264,11.4011,90.3007,69.3151,Approve with Conditions,5242.43,471920.94,0.5986,961184.42,0.1225,114,Platinum,Retention,High
2,CUST-C0242,INST-009,Line of Credit,0.6229,0.2205,Improving,-1.8114,0.1273,0.7441,94.0326,63.4771,Approve,27475.93,112392.63,0.0798,14872.17,0.0019,145,Gold,None,Medium
3,CUST-C0048,INST-004,Line of Credit,0.244,0.0568,Worsening,-5.6381,0.0815,0.4572,68.9703,47.6613,Approve,36985.7,99151.51,0.1913,73331.14,0.1618,80,Gold,Upsell,Medium
4,CUST-C0009,INST-019,Business Loan,0.8436,0.1338,Stable,8.3546,0.0769,0.3782,62.1857,64.1979,Approve,44777.93,486365.54,0.4895,548225.94,0.0622,29,Silver,Upsell,Medium
5,CUST-C0002,INST-020,Credit Card,0.1227,0.1898,Worsening,0.4795,0.1098,4.4677,69.5734,67.4239,Approve with Conditions,48226.15,468453.3,0.6245,979455.7,0.0731,52,Gold,Upsell,Low
6,CUST-C0170,INST-007,Personal Loan,0.2196,0.0098,Improving,3.7609,0.1123,13.0057,88.366,87.5651,Approve with Conditions,43665.32,374259.02,0.5916,1777448.52,0.1033,89,Platinum,Cross-sell,Low
7,CUST-C0211,INST-001,Mortgage,0.0966,0.0332,Improving,-3.5254,0.0299,4.4732,89.8368,62.6047,Approve with Conditions,6386.63,161214.75,0.591,450921.96,0.0202,37,Platinum,Retention,High
8,CUST-C0102,INST-007,Business Loan,0.9667,0.1227,Stable,-4.9184,0.0568,4.0781,92.176,70.4207,Deny,49936.03,330006.83,0.7735,3059060.31,0.1184,95,Silver,Upsell,High
9,CUST-C0240,INST-012,Business Loan,0.9132,0.2341,Stable,-3.5956,0.0114,3.9092,75.3955,63.6672,Approve,3809.38,141810.21,0.3596,2966701.24,0.0583,61,Silver,None,High
10,CUST-C0002,INST-016,Credit Card,0.24,0.0079,Improving,-0.4574,0.0362,0.1158,76.2675,46.9768,Deny,35934.62,230695.55,0.5748,478171.39,0.0356,114,Platinum,Retention,High
11,CUST-C0054,INST-019,Line of Credit,0.5522,0.2032,Improving,1.1604,0.198,1.5526,90.4931,67.7516,Approve with Conditions,12825.65,413744.77,0.9353,41852.29,0.0038,140,Silver,None,Low
12,CUST-C0223,INST-017,Mortgage,0.0567,0.1029,Worsening,-3.3366,0.179,1.5367,90.5299,71.842,Deny,42452.26,86723.25,0.8641,15278.87,0.1939,62,Platinum,Cross-sell,Low
13,CUST-C0154,INST-001,Business Loan,0.201,0.0603,Improving,-0.4607,0.0835,9.0554,89.6554,97.7349,Approve,22393.45,147661.11,0.6345,56191.6,0.1141,71,Silver,None,Low
14,CUST-C0243,INST-010,Credit Card,0.4316,0.1275,Improving,-5.5373,0.007,8.9463,70.2447,89.1894,Approve,2712.44,141440.92,0.6172,58894.61,0.2466,85,Silver,Cross-sell,Low
15,CUST-C0019,INST-011,Credit Card,0.5515,0.2597,Worsening,9.5085,0.1252,4.6429,73.6875,66.3852,Approve,14763.1,88390.48,0.6968,3080772.91,0.0957,158,Platinum,Upsell,Medium
16,CUST-C0061,INST-011,Personal Loan,0.3608,0.1949,Worsening,-6.3274,0.0196,8.9553,78.8081,55.5909,Deny,2741.63,313340.7,0.5683,3036777.75,-0.0904,151,Bronze,None,High
17,CUST-C0216,INST-016,Credit Card,0.161,0.285,Stable,6.4749,0.167,7.0182,61.0383,55.0167,Approve with Conditions,4679.32,98023.83,0.4454,544651.73,0.1792,30,Silver,Retention,Low
18,CUST-C0223,INST-004,Credit Card,0.4695,0.049,Worsening,4.5582,0.1011,14.0026,65.0404,63.2052,Deny,16152.57,113182.68,0.2629,7026.68,0.0706,31,Silver,Cross-sell,High
19,CUST-C0074,INST-008,Line of Credit,0.8382,0.2281,Worsening,-4.5448,0.0601,0.4913,77.5268,88.6219,Approve,34557.27,373345.79,0.3577,4512372.44,0.1369,85,Bronze,Retention,Medium
20,CUST-C0249,INST-010,Line of Credit,0.0067,0.2844,Stable,-6.7016,0.048,8.2424,90.2066,55.2609,Deny,48711.86,220371.22,0.3165,46035.51,0.0338,90,Silver,Upsell,Medium
21,CUST-C0220,INST-003,Mortgage,0.0712,0.1514,Stable,1.3708,0.0851,12.7345,82.9927,62.3373,Deny,23928.87,50945.09,0.4956,786882.75,0.1193,159,Platinum,Upsell,Medium
