risk_profile_id,customer_id,institution_id,product_type,risk_pattern,base_risk_score,total_exposure,relationship_length_months,products_held,repayment_history_score,recent_transaction_volatility,collateral_quality_score,liquidity_ratio,projected_cash_flow_rating,primary_risk_factors,risk_factor_weights
1,CUST-C0013,INST-004,Line of Credit,Volatile,0.8428,961184.42,52,1,5,0.7649,0.8749,0.3519,0.993,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
2,CUST-C0242,INST-009,Line of Credit,Deteriorating,0.4648,14872.17,117,3,10,0.6092,0.8074,1.904,0.6927,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
3,CUST-C0048,INST-004,Line of Credit,Deteriorating,0.1421,73331.14,32,3,10,0.2398,0.633,0.6555,0.7861,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
4,CUST-C0009,INST-019,Business Loan,Stable,0.6413,548225.94,51,5,6,0.3069,0.3677,0.9067,0.7682,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
5,CUST-C0002,INST-020,Credit Card,Deteriorating,0.7391,979455.7,67,4,7,0.0003,0.0764,0.3206,0.7954,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
6,CUST-C0170,INST-007,Personal Loan,Stable,0.4168,1777448.52,35,5,1,0.0445,0.5138,0.0287,0.7205,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
7,CUST-C0211,INST-001,Mortgage,Improving,0.782,450921.96,37,1,1,0.8081,0.9967,1.5681,0.8562,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
8,CUST-C0102,INST-007,Business Loan,Stable,0.1167,3059060.31,48,2,9,0.7722,0.9338,0.6283,0.5861,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
9,CUST-C0240,INST-012,Business Loan,Stable,0.9826,2966701.24,88,5,6,0.868,0.4755,0.2056,0.4639,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
10,CUST-C0002,INST-016,Credit Card,Improving,0.5075,478171.39,118,3,6,0.2151,0.9357,1.8818,0.7621,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
11,CUST-C0054,INST-019,Line of Credit,Volatile,0.6724,41852.29,6,1,5,0.8307,0.2285,0.1179,0.8844,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
12,CUST-C0223,INST-017,Mortgage,Volatile,0.1304,15278.87,111,1,9,0.9896,0.099,0.6578,0.9804,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
13,CUST-C0154,INST-001,Business Loan,Volatile,0.6561,56191.6,36,5,7,0.7009,0.7799,1.7927,0.1096,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
14,CUST-C0243,INST-010,Credit Card,Volatile,0.1108,58894.61,71,4,1,0.9646,0.2404,0.8081,0.216,Debt-to-income;Payment history,"{'income': 0.3, 'credit_history': 0.4, 'collateral': 0.3}"
